省份,GDP（亿元）
广东,135673
江苏,128222
山东,92069
浙江,82553
四川,60132
河南,59132
湖北,55803
福建,54355
湖南,50012
上海,47218
安徽,47050
河北,43944
北京,43760
陕西,33786
